timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217077.621,-51.758,-34.668,-42.480,-45.898,0.000
1712217077.627,-44.922,-37.109,-36.621,-35.156,0.000
1712217077.630,-30.273,-31.738,-38.086,-36.621,0.000
1712217077.634,-36.621,-31.250,-41.992,-36.621,0.000
1712217077.638,-4.883,-39.551,-49.316,-14.160,0.000
1712217077.641,12.207,-37.109,-49.316,5.371,0.000
1712217077.645,-29.297,-35.645,-43.457,-26.367,0.000
1712217077.649,-44.922,-46.387,-40.527,-41.992,0.000
1712217077.652,-37.109,-41.016,-52.246,-29.297,0.000
1712217077.656,-16.602,-38.086,-52.246,-14.648,0.000
1712217077.660,6.348,-37.109,-44.922,-6.836,0.000
1712217077.663,0.000,-41.016,-40.527,2.441,0.000
1712217077.667,-3.418,-52.246,-34.180,12.207,0.000
1712217077.673,18.555,-41.504,-39.062,12.695,0.000
1712217077.677,33.691,-33.691,-40.039,20.020,0.000
1712217077.680,13.184,-39.062,-40.039,14.648,0.000
1712217077.684,10.742,-44.434,-36.133,18.555,0.000
1712217077.688,20.020,-44.922,-31.250,31.250,0.000
1712217077.691,19.043,-40.527,-31.250,25.879,0.000
1712217077.695,32.227,-36.621,-35.645,28.809,0.000
1712217077.699,36.133,-27.344,-41.992,20.996,0.000
1712217077.702,16.602,-35.645,-40.527,5.859,0.000
1712217077.706,30.273,-44.434,-36.133,17.090,0.000
1712217077.710,28.809,-47.363,-35.645,12.695,0.000
1712217077.713,30.273,-43.945,-43.945,0.977,0.000
1712217077.719,22.949,-38.086,-42.480,5.859,0.000
1712217077.723,13.184,-42.480,-35.645,4.395,0.000
1712217077.726,16.113,-47.363,-35.645,5.859,0.000
1712217077.730,7.324,-36.133,-43.945,-2.441,0.000
1712217077.734,10.742,-32.227,-44.922,0.488,0.000
1712217077.738,21.973,-38.086,-45.410,5.371,0.000
1712217077.741,1.953,-39.062,-48.828,-4.883,0.000
1712217077.745,-4.395,-39.062,-40.527,-1.465,0.000
1712217077.749,1.953,-30.273,-40.039,-15.625,0.000
1712217077.752,2.930,-38.086,-42.969,-22.949,0.000
1712217077.756,2.930,-51.758,-37.598,-18.066,0.000
1712217077.760,1.465,-49.316,-31.250,-16.113,0.000
1712217077.765,8.301,-52.734,-38.086,-8.301,0.000
1712217077.769,14.648,-52.246,-52.246,-6.348,0.000
1712217077.773,-0.977,-41.016,-53.223,-17.578,0.000
1712217077.776,-5.371,-33.203,-42.480,-21.484,0.000
1712217077.780,-5.371,-34.180,-37.598,-15.137,0.000
1712217077.784,-9.766,-32.227,-38.086,-8.301,0.000
1712217077.787,-5.371,-20.996,-34.180,-4.883,0.000
1712217077.791,-16.602,-28.809,-33.691,-14.648,0.000
1712217077.795,-7.324,-38.574,-35.156,-19.043,0.000
1712217077.798,-13.672,-35.645,-37.109,-21.973,0.000
1712217077.802,-21.484,-28.320,-42.480,-26.855,0.000
1712217077.806,-15.625,-22.949,-37.109,-27.832,0.000
1712217077.812,-25.879,-37.598,-32.715,-23.438,0.000
1712217077.816,-13.672,-37.109,-31.250,-18.066,0.000
1712217077.820,-12.695,-25.879,-31.250,-22.461,0.000
1712217077.823,-20.020,-33.203,-31.250,-26.367,0.000
1712217077.827,-19.043,-37.109,-22.949,-24.902,0.000
1712217077.831,-13.672,-34.668,-22.949,-24.902,0.000
1712217077.835,4.395,-42.480,-29.297,-22.949,0.000
1712217077.838,-12.207,-46.875,-34.668,-23.438,0.000
1712217077.842,-20.020,-41.992,-36.133,-18.555,0.000
1712217077.846,-4.395,-42.480,-34.180,-16.602,0.000
1712217077.849,-13.672,-44.922,-36.133,-31.250,0.000
1712217077.853,-23.438,-45.898,-43.457,-36.621,0.000
1712217077.859,-23.438,-41.992,-49.316,-29.297,0.000
1712217077.863,-25.879,-34.668,-44.922,-29.297,0.000
1712217077.867,-13.672,-33.203,-32.227,-30.273,0.000
1712217077.870,-21.973,-41.016,-32.715,-20.508,0.000
1712217077.874,-25.391,-37.598,-36.621,-18.555,0.000
1712217077.878,-25.391,-27.344,-33.203,-26.367,0.000
1712217077.882,-38.574,-33.691,-30.762,-28.320,0.000
1712217077.885,-36.621,-35.645,-30.762,-24.902,0.000
1712217077.889,-30.273,-39.551,-37.598,-17.578,0.000
1712217077.893,-29.297,-41.504,-39.062,-13.184,0.000
1712217077.896,-26.855,-44.922,-35.645,-13.672,0.000
1712217077.900,-36.133,-44.922,-36.621,-25.391,0.000
1712217077.906,-35.156,-38.574,-30.762,-20.020,0.000
1712217077.910,-27.832,-35.645,-25.391,0.000,0.000
1712217077.914,-22.949,-32.227,-29.297,-12.207,0.000
1712217077.917,-18.066,-26.367,-36.621,-27.832,0.000
1712217077.921,-13.672,-26.855,-33.203,-17.090,0.000
1712217077.925,-11.719,-33.203,-26.367,-9.766,0.000
1712217077.928,-14.160,-33.691,-33.203,-18.066,0.000
1712217077.932,-29.297,-41.016,-37.598,-24.414,0.000
1712217077.936,-40.039,-36.133,-34.668,-13.184,0.000
1712217077.940,-28.320,-20.996,-30.762,-14.648,0.000
1712217077.943,-29.297,-15.137,-33.691,-37.109,0.000
1712217077.947,-29.297,-34.180,-33.691,-36.133,0.000
1712217077.953,-25.391,-37.109,-30.273,-34.668,0.000
1712217077.957,-33.691,-37.109,-30.762,-28.809,0.000
1712217077.960,-36.133,-40.527,-35.156,-21.484,0.000
1712217077.964,-31.250,-42.969,-37.109,-30.273,0.000
1712217077.968,-34.180,-43.945,-31.250,-28.809,0.000
1712217077.972,-30.273,-28.320,-29.785,-23.926,0.000
1712217077.975,-32.715,-40.527,-30.762,-26.367,0.000
1712217077.979,-31.250,-38.574,-34.180,-33.203,0.000
1712217077.983,-37.109,-41.992,-42.480,-36.621,0.000
1712217077.986,-41.016,-59.082,-47.363,-29.297,0.000
1712217077.990,-43.457,-49.805,-41.504,-37.598,0.000
1712217077.994,-36.621,-48.828,-39.062,-33.691,0.000
1712217078.000,-31.738,-48.340,-38.086,-28.320,0.000
1712217078.003,-31.250,-44.434,-37.598,-40.527,0.000
1712217078.007,-39.551,-41.504,-49.316,-41.992,0.000
1712217078.011,-56.641,-45.410,-50.293,-39.062,0.000
1712217078.014,-46.875,-40.039,-41.016,-46.387,0.000
1712217078.018,-38.574,-41.992,-39.551,-52.246,0.000
1712217078.022,-42.480,-45.898,-38.574,-43.945,0.000
1712217078.026,-48.828,-37.109,-42.969,-41.016,0.000
1712217078.029,-49.316,-50.293,-43.457,-43.457,0.000
1712217078.033,-33.203,-59.082,-39.062,-43.457,0.000
1712217078.037,-33.691,-47.363,-42.969,-35.645,0.000
1712217078.041,-35.645,-45.898,-51.758,-35.156,0.000
1712217078.046,-29.785,-38.086,-52.734,-46.387,0.000
1712217078.050,-40.039,-36.133,-47.852,-41.016,0.000
1712217078.054,-22.461,-39.062,-44.922,-27.344,0.000
1712217078.057,-21.973,-39.062,-39.551,-32.227,0.000
1712217078.061,-50.781,-32.227,-40.527,-47.852,0.000
1712217078.065,-44.434,-36.621,-31.250,-31.250,0.000
1712217078.069,-39.551,-42.480,-30.273,-19.043,0.000
1712217078.072,-36.133,-34.668,-39.062,-25.879,0.000
1712217078.076,-31.250,-35.156,-41.016,-37.598,0.000
1712217078.080,-34.668,-42.969,-38.574,-49.805,0.000
1712217078.083,-40.039,-42.480,-36.621,-39.062,0.000
1712217078.087,-32.227,-37.598,-36.133,-32.715,0.000
1712217078.093,-17.090,-34.180,-40.527,-32.227,0.000
1712217078.096,-20.020,-35.156,-48.340,-31.250,0.000
1712217078.100,-41.992,-39.062,-49.316,-41.016,0.000
1712217078.104,-36.621,-49.316,-47.852,-41.016,0.000
1712217078.108,-32.227,-41.504,-47.363,-34.668,0.000
1712217078.111,-48.340,-38.574,-49.805,-38.086,0.000
1712217078.115,-49.805,-44.922,-50.781,-35.645,0.000
1712217078.119,-28.320,-40.527,-47.363,-24.902,0.000
1712217078.122,-0.488,-36.133,-35.645,1.465,0.000
1712217078.126,-16.602,-35.645,-33.203,-12.695,0.000
1712217078.130,-48.340,-36.621,-35.645,-55.176,0.000
1712217078.134,-49.805,-27.344,-22.949,-61.035,0.000
1712217078.139,-71.289,-20.996,-26.855,-78.613,0.000
1712217078.143,-89.844,-26.367,-39.062,-90.820,0.000
1712217078.146,-83.984,-28.809,-39.062,-93.262,0.000
1712217078.150,-102.051,-24.902,-32.227,-107.910,0.000
