channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,delta,total_variation,win-6,1,0.0963847363636053
AF8,delta,total_variation,win-7,1,0.103317287923853
AF8,delta,total_variation,win-8,1,0.0994635512563051
AF8,delta,total_variation,win-9,1,0.1032601345543743
AF8,delta,total_variation,win0,1,0.0950333297622742
AF8,gamma,approx_entropy,win-1,1,0.0301784507123035
AF8,gamma,approx_entropy,win-2,1,0.0151612385997432
AF8,gamma,approx_entropy,win-3,1,0.0084906521278082
AF8,gamma,approx_entropy,win-4,1,0.0132938118815091
AF8,gamma,approx_entropy,win-5,1,0.0033907086121692
AF8,gamma,approx_entropy,win-6,1,0.0095449260996271
AF8,gamma,approx_entropy,win-7,1,0.0232781949746443
AF8,gamma,approx_entropy,win-8,1,0.0201376087600161
AF8,gamma,approx_entropy,win-9,1,0.0227218462203324
AF8,gamma,approx_entropy,win0,1,0.0243998644876813
AF8,gamma,energy,win-1,1,-0.0286553308425596
AF8,gamma,energy,win-2,1,-0.0238020129178116
AF8,gamma,energy,win-3,1,-0.0223059659039943
AF8,gamma,energy,win-4,1,-0.0141158281815001
AF8,gamma,energy,win-5,1,-0.0254015391759388
AF8,gamma,energy,win-6,1,-0.0291767597587358
AF8,gamma,energy,win-7,1,-0.0456499965475584
AF8,gamma,energy,win-8,1,-0.0401652579534985
AF8,gamma,energy,win-9,1,-0.0477798474578247
AF8,gamma,energy,win0,1,-0.0289185084055042
AF8,gamma,skewness,win-1,1,-0.005018772042353
AF8,gamma,skewness,win-2,1,-0.0051998977759886
AF8,gamma,skewness,win-3,1,-0.0058480729325017
AF8,gamma,skewness,win-4,1,-0.0026951435677894
AF8,gamma,skewness,win-5,1,-0.010974856762927
AF8,gamma,skewness,win-6,1,0.0019365485908669
AF8,gamma,skewness,win-7,1,-0.006788727846179
AF8,gamma,skewness,win-8,1,-0.0113832451324804
AF8,gamma,skewness,win-9,1,-0.0174141058308567
AF8,gamma,skewness,win0,1,0.003957704046376
AF8,gamma,standard_deviation,win-1,1,-0.0237816875583989
AF8,gamma,standard_deviation,win-2,1,-0.0199893560590692
AF8,gamma,standard_deviation,win-3,1,-0.0135741965187987
AF8,gamma,standard_deviation,win-4,1,-0.0039780498330476
AF8,gamma,standard_deviation,win-5,1,-0.0153659988212159
AF8,gamma,standard_deviation,win-6,1,-0.0188666925850278
AF8,gamma,standard_deviation,win-7,1,-0.0351105170281494
AF8,gamma,standard_deviation,win-8,1,-0.0267350143267108
AF8,gamma,standard_deviation,win-9,1,-0.0315344575931566
AF8,gamma,standard_deviation,win0,1,-0.0258131847903105
AF8,gamma,total_variation,win-1,1,-0.0364650556605521
AF8,gamma,total_variation,win-2,1,-0.0312952810833288
AF8,gamma,total_variation,win-3,1,-0.0252161407439259
AF8,gamma,total_variation,win-4,1,-0.0062711854135019
AF8,gamma,total_variation,win-5,1,-0.0138152673600508
AF8,gamma,total_variation,win-6,1,-0.0091845576137981
AF8,gamma,total_variation,win-7,1,-0.0206161710827712
AF8,gamma,total_variation,win-8,1,-0.0187018682635997
AF8,gamma,total_variation,win-9,1,-0.0194103342962617
AF8,gamma,total_variation,win0,1,-0.0328782825640604
AF8,theta,approx_entropy,win-1,1,0.0305407771893077
AF8,theta,approx_entropy,win-2,1,0.0298367743336378
AF8,theta,approx_entropy,win-3,1,0.0315864601097923
AF8,theta,approx_entropy,win-4,1,0.0420356806337994
AF8,theta,approx_entropy,win-5,1,0.0433533595388667
AF8,theta,approx_entropy,win-6,1,0.0404080497820884
AF8,theta,approx_entropy,win-7,1,0.0469875275399784
AF8,theta,approx_entropy,win-8,1,0.0423156451578666
AF8,theta,approx_entropy,win-9,1,0.0450042348687329
AF8,theta,approx_entropy,win0,1,0.0140900594635337
AF8,theta,energy,win-1,1,0.096961885951039
AF8,theta,energy,win-2,1,0.0997256643552071
AF8,theta,energy,win-3,1,0.0996319884802109
AF8,theta,energy,win-4,1,0.0967970106543429
AF8,theta,energy,win-5,1,0.1098767121512728
AF8,theta,energy,win-6,1,0.109437051803258
AF8,theta,energy,win-7,1,0.1036145607289653
AF8,theta,energy,win-8,1,0.098786280813274
AF8,theta,energy,win-9,1,0.1059802540076715
AF8,theta,energy,win0,1,0.1027068075324333
AF8,theta,skewness,win-1,1,0.0048770583751517
AF8,theta,skewness,win-2,1,0.0174566604013814
AF8,theta,skewness,win-3,1,0.0316777045736709
AF8,theta,skewness,win-4,1,0.0361476882862709
AF8,theta,skewness,win-5,1,0.0506229037364142
AF8,theta,skewness,win-6,1,0.0730699487952074
AF8,theta,skewness,win-7,1,0.0812796297572858
AF8,theta,skewness,win-8,1,0.0607823913255037
AF8,theta,skewness,win-9,1,0.0712707844771087
AF8,theta,skewness,win0,1,0.0186514033371589
AF8,theta,standard_deviation,win-1,1,0.0909190379064613
AF8,theta,standard_deviation,win-2,1,0.0944736730024611
AF8,theta,standard_deviation,win-3,1,0.0938297903953666
